Train Time	Valid Time	Learning Rate	Train Loss	Valid Loss	Train Acc	Valid Acc	
3.396117	1.009291	0.500000	0.673794	1.051011	76.056338	58.620690	
3.489724	0.992415	0.500000	0.713312	0.990622	74.014084	63.546798	
3.197034	1.007226	0.500000	0.759739	0.799940	72.746479	67.487685	
3.387704	0.995536	0.500000	0.705194	1.288139	74.366197	62.068966	
3.408375	1.107604	0.500000	0.728260	0.822280	74.436620	69.950739	
3.274341	0.956524	0.500000	0.688849	1.082975	74.647887	65.024631	
3.098236	1.013447	0.500000	0.699195	0.905783	73.661972	65.517241	
3.159966	1.032019	0.500000	0.710777	0.983404	73.521127	64.532020	
3.178285	0.984543	0.500000	0.695483	0.766610	75.140845	68.965517	
3.121117	0.965366	0.500000	0.640530	0.842683	76.267606	65.517241	
3.117528	0.975088	0.500000	0.622940	1.138113	76.619718	62.561576	
3.110261	1.012012	0.500000	0.790311	1.508712	72.535211	56.157635	
3.296659	0.987011	0.500000	0.780093	0.802635	72.464789	68.965517	
3.164552	0.990495	0.500000	0.677898	0.844740	75.563380	69.458128	
3.205040	1.018650	0.050000	0.642610	0.645602	76.408451	75.862069	
3.198665	1.030360	0.050000	0.598207	0.647263	78.028169	76.354680	
3.271466	1.070735	0.050000	0.581386	0.646846	80.352113	77.339902	
3.380521	1.007803	0.050000	0.584172	0.653069	79.225352	77.339902	
3.273363	0.978697	0.050000	0.555591	0.632769	80.915493	78.325123	
3.164570	0.967739	0.050000	0.556146	0.608788	80.070423	78.325123	
3.253838	0.991224	0.050000	0.560416	0.610058	80.211268	79.310345	
3.286572	1.008494	0.050000	0.545172	0.637400	79.084507	77.339902	
3.270895	0.994052	0.050000	0.541052	0.620023	80.563380	77.832512	
3.161936	0.971549	0.050000	0.521176	0.602300	80.704225	77.832512	
3.424642	1.089555	0.050000	0.507691	0.626074	81.830986	77.339902	
3.090771	0.993811	0.050000	0.524178	0.590326	81.267606	79.802956	
3.205692	1.022540	0.050000	0.504960	0.591574	82.394366	79.802956	
3.236568	0.957516	0.050000	0.526657	0.585886	81.971831	78.817734	
3.223337	0.984273	0.050000	0.505760	0.589173	82.112676	78.817734	
3.309384	1.103559	0.050000	0.494919	0.601946	82.394366	77.832512	
3.263273	0.973481	0.050000	0.514063	0.606285	81.901408	76.847291	
3.234085	0.930565	0.050000	0.507669	0.655782	81.126761	76.354680	
3.194965	1.036970	0.050000	0.480957	0.627944	83.239437	77.339902	
3.212173	1.105590	0.050000	0.485177	0.621404	82.323944	77.832512	
3.151825	1.004142	0.050000	0.489065	0.628868	82.957746	79.310345	
3.146867	1.017466	0.050000	0.485587	0.619064	82.676056	78.817734	
3.252905	1.085354	0.050000	0.490020	0.596352	82.464789	78.325123	
3.217258	1.023331	0.050000	0.497799	0.591632	81.971831	77.832512	
3.326407	1.093873	0.050000	0.476677	0.577826	82.605634	77.832512	
3.342916	1.017260	0.050000	0.487636	0.585881	82.253521	79.802956	
3.376720	0.982511	0.050000	0.502174	0.571087	82.323944	80.295566	
3.243481	1.028718	0.050000	0.487790	0.564292	81.901408	81.773399	
3.234283	0.972717	0.050000	0.480731	0.571787	82.887324	81.280788	
3.151556	1.025021	0.050000	0.480851	0.549449	82.535211	80.788177	
3.227125	0.979683	0.050000	0.474076	0.584282	82.887324	80.295567	
3.210163	1.083964	0.050000	0.477495	0.612766	82.253521	77.339902	
3.256189	1.008294	0.050000	0.477354	0.569449	82.535211	79.310345	
3.209977	1.047458	0.050000	0.457916	0.568826	83.450704	80.295567	
3.106342	0.950345	0.050000	0.464692	0.557797	83.450704	78.325123	
